Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
868.8,1,0.0,2,4,0,55,2,4,0
710.9,3,3.0,0,3,1,91,12,1,0
2768.17,3,21.0,0,0,0,21,4,0,0
414.1317721896282,1,17.830027103160067,0,5,3,56,7,2,1
1656.79,1,18.0,1,4,0,30,12,4,0
3008.54,2,9.0,0,1,1,81,3,1,0
4348.48860113733,2,14.348093837841285,2,0,2,101,10,3,1
3298.030883437215,2,8.465907097855286,1,3,1,39,12,0,1
1476.75,4,18.0,2,7,0,91,2,0,0
2559.45,2,8.0,0,4,2,55,14,5,0
3719.8336341297477,3,6.471355782172353,1,5,2,64,7,0,1
1626.66,0,2.0,2,6,2,19,2,4,0
3436.988998211782,3,5.089631076498167,2,6,0,57,4,3,1
1674.31,0,21.0,2,6,2,3,3,4,0
64.572216886451,2,6.4252751469035925,0,5,0,95,2,1,1
49997.8,1,18.229777526147707,2,3,3,9,11,1,1
4059.694143643234,2,9.034054997569477,0,4,1,112,11,2,1
4003.52,3,2.0,2,4,3,96,10,1,0
4483.103390062288,1,11.44940372677327,0,5,1,22,10,3,1
4745.911043473251,3,15.208577752667882,1,2,0,97,9,2,1
394.25,1,21.0,0,7,4,52,10,0,0
683.53,4,1.0,0,4,3,56,14,0,0
1564.46,4,6.0,4,6,1,93,8,3,0
1771.9160376827704,3,4.926764257488784,1,7,0,33,1,4,1
901.24,3,9.0,0,4,0,59,8,1,0
4224.6,4,19.0,2,8,2,95,3,3,0
122.56638460599568,1,13.205738148270896,1,4,3,66,9,4,1
3311.6067227529797,1,6.0387724026903165,3,5,1,27,12,0,1
3843.0,0,8.0,0,1,1,99,5,3,0
417.27329734050704,2,4.943825445047003,3,3,1,52,11,2,1
392.34,2,5.0,0,0,2,48,1,1,0
1776.3017353609703,3,2.5762671177561183,1,7,0,32,3,5,1
93.5444740529023,3,12.173152784697068,2,2,2,15,4,2,1
2841.3672424499323,0,4.8841991205053334,1,2,2,111,8,3,1
2478.71,1,19.0,2,3,2,119,11,3,0
505.83907612205905,1,20.36274011823319,1,2,2,89,9,3,1
1536.7721128816272,1,11.626574477912367,1,1,3,22,6,3,1
66.06,1,2.0,4,0,0,21,9,3,0
4055.376524553282,0,12.616272318836682,2,6,3,42,1,0,1
4111.67,1,8.0,2,5,3,55,6,3,0
2463.1196759560244,1,13.06592183472921,0,4,1,65,4,1,1
2251.478685062327,1,2.6297581908499197,1,4,2,104,2,3,1
564.35,1,22.0,4,4,1,25,11,0,0
1299.91,3,6.0,1,8,3,23,1,3,0
1013.08,2,20.0,2,0,1,89,9,0,0
1073.4979382361048,2,21.412548865814294,2,1,0,51,8,0,1
147.17,4,20.0,0,3,3,2,14,4,1
18.17,3,15.0,4,4,0,73,5,3,0
3312.504481778999,1,16.546059060136194,1,2,3,58,8,2,1
3982.770503583534,3,10.824185773636927,2,1,3,69,2,2,1
1906.961371515768,1,11.129553866840386,2,3,0,4,10,2,1
580.5,2,15.0,0,5,1,65,12,4,0
807.58,3,22.0,2,4,2,86,3,3,0
4904.915852001122,0,10.645504233904365,0,2,2,72,4,3,1
3673.6108445474024,1,17.937909635748532,1,3,2,108,9,4,1
1421.3263129918362,1,10.640669784695486,0,6,1,44,12,2,1
1792.27,0,1.0,0,1,3,99,12,1,0
2931.081605597547,1,16.606521978551232,1,7,2,35,6,1,1
1641.68,1,16.0,1,1,1,74,1,3,0
1700.7101107911294,1,1.131506976789957,2,1,1,77,13,2,1
3901.47,2,14.0,0,1,4,108,10,0,0
251.0472298364744,0,5.075748963147468,2,3,1,93,10,4,1
3503.09,3,3.0,1,3,2,62,1,3,0
2091.7821532600265,1,11.0,1,4,0,9,12,2,1
1582.8,0,9.0,0,4,0,38,14,0,0
1539.1793589476774,1,7.0,0,3,2,27,9,2,1
3521.5883813734818,3,14.949763278961093,0,4,1,20,8,3,1
4603.05,2,15.0,1,4,3,2,10,1,0
3366.4465439644755,2,8.864924530597204,2,3,2,28,11,1,1
3868.76,0,23.0,0,8,3,105,1,1,0
4770.87,0,2.0,1,1,1,72,14,5,0
4134.83,0,22.0,1,1,2,96,10,0,0
3993.15,2,0.0,0,1,4,67,12,3,0
4943.958618833528,2,9.10153089137931,2,5,0,59,3,4,1
2198.634281685893,1,20.74459680098859,1,0,2,55,1,0,1
2315.61,2,21.0,0,7,1,75,5,4,0
820.7085307888992,3,11.909952632462767,0,4,2,67,6,0,1
3105.33,0,2.0,2,1,3,37,9,3,0
1576.29,1,3.0,0,2,4,61,10,0,0
2395.34,2,12.0,0,2,1,41,14,1,0
912.69,3,12.0,3,5,2,112,2,0,0
1635.0,3,22.0,1,0,1,45,2,4,0
1065.08,4,0.0,0,7,2,101,10,1,0
4923.155170450615,3,15.24933865834642,1,2,1,117,12,4,1
208.25,0,2.0,1,4,4,51,11,2,1
3544.12,4,2.0,0,1,0,77,3,3,0
4875.48,1,13.0,1,5,3,113,13,1,0
3096.5622362405484,4,13.42131136089776,0,4,2,52,3,3,1
82.79320998211875,0,19.73296024212351,1,7,3,91,6,0,1
3982.26,0,12.0,0,3,2,78,2,1,0
4936.3,2,1.0,1,5,1,118,8,0,0
35.45,2,18.0,0,0,4,115,14,4,0
406.51982181497146,2,10.76614700534948,2,2,0,73,7,3,1
4915.29,2,20.0,2,8,0,100,14,1,0
379.77,1,9.0,0,5,3,45,2,3,0
2797.502314936545,4,20.432852931813013,2,4,1,20,12,0,1
535.3281094892284,2,2.8317027537219865,0,1,3,80,3,3,1
3946.4,2,23.0,2,0,0,17,14,4,0
2108.751200693311,2,17.997864875910913,0,0,2,76,4,4,1
3043.134110201718,2,1.8335287264505236,1,2,3,19,13,3,1
4174.255983047326,4,1.5632874482626313,0,3,2,62,2,2,1
3747.9988098685044,1,20.220859801801936,0,2,1,47,11,0,1
1325.21,3,19.0,2,5,3,9,3,1,0
634.4868165390213,1,16.076968374260634,0,7,3,94,4,1,1
4383.61,4,2.0,2,8,2,65,1,4,0
2084.26,1,7.0,0,6,0,116,5,3,0
1307.9323941330383,1,3.708627336760417,0,6,1,106,3,1,1
963.83,0,19.0,1,8,4,60,10,3,0
4530.181105610549,2,10.350570225968584,1,3,1,55,7,3,1
4492.892788866785,1,17.20150749555966,2,5,0,111,10,1,1
1387.15713251838,0,11.377509993571447,1,3,0,98,10,1,1
1797.33,4,18.0,1,2,2,66,3,5,0
1588.9385959108813,3,18.93329271227804,0,5,1,100,5,1,1
4309.23,2,17.0,2,3,1,49,9,0,0
2472.3494934867354,0,10.292037685909733,2,0,1,40,8,0,1
2961.0565533344793,1,16.67271794736211,0,6,1,7,2,0,1
4959.57,0,0.0,0,5,2,79,1,3,0
1802.3346249124372,0,7.024700731429006,1,0,2,63,4,1,1
4875.832109708307,2,5.0,1,3,2,80,12,0,1
796.88,2,13.0,2,0,2,74,4,0,0
57.55,1,16.0,0,5,4,56,11,4,0
2805.1853606073505,2,4.678419375078213,1,5,2,92,5,2,1
961.76,0,17.0,1,7,1,107,11,4,0
1794.17,0,11.0,2,6,2,74,1,0,0
4570.98,4,21.0,2,2,3,19,2,0,1
334.67,1,0.0,0,7,3,105,3,3,0
1033.2791657200032,3,13.527017859376263,2,6,1,13,7,0,1
583.1528865879621,0,14.327798368606791,1,7,2,4,8,1,1
2840.129910361365,2,1.123119831386101,0,2,2,99,2,4,1
2251.4896731948256,1,2.553977966719536,1,4,2,104,2,3,1
728.78,2,17.0,0,5,3,12,9,4,0
1553.32,1,10.0,3,5,1,108,6,1,0
4992.134463999496,1,10.419497269136173,1,3,0,86,7,1,1
668.7307913193927,2,3.3192861701999608,1,3,1,60,11,1,1
4861.157517316055,2,17.174072551968454,1,2,0,48,4,2,1
1214.8121551876075,2,11.0,0,2,1,90,6,0,1
49997.8,3,22.0,2,4,3,53,10,0,0
4036.02,3,21.0,1,1,2,57,13,4,0
1455.7339059516582,0,18.986125820394985,1,0,0,113,3,1,1
3654.57,4,19.0,2,0,4,50,1,1,0
3669.93,2,14.0,2,1,4,24,11,1,0
2410.08,1,13.0,1,6,2,23,3,3,0
2479.538928574647,3,13.515921087177057,0,5,2,82,6,0,1
57.08006037057099,3,8.605688696745574,2,1,1,72,4,0,1
346.51,2,6.0,0,0,1,42,3,4,1
2732.3979492314984,1,4.372359760321299,0,0,0,93,8,4,1
4282.758274680749,3,6.973562739191067,1,3,1,97,3,0,1
1256.6016562239606,0,6.86291596451853,0,2,1,104,5,0,1
244.12,3,17.0,2,2,3,83,7,1,0
2591.3005800237825,1,7.6701433169984945,0,4,2,25,8,4,1
2109.5076019210974,2,16.65279993110271,0,0,2,76,4,4,1
4411.0184901942375,0,18.078920289463113,2,4,2,26,3,1,1
761.01,0,19.0,2,2,0,51,2,3,0
1329.13,4,21.0,1,4,0,84,3,4,0
4232.31,2,8.0,3,1,2,103,13,4,1
23.25,1,22.0,2,7,0,102,11,3,0
1301.32,4,3.0,2,4,0,5,8,0,0
255.97820626806694,2,1.0421851339608823,1,5,1,83,11,1,1
1244.58,0,10.0,2,3,0,70,1,4,0
1652.37,4,15.0,1,7,1,77,14,4,0
1761.25,1,16.0,2,4,1,10,8,4,0
4726.24,2,4.0,2,0,0,21,2,4,0
3930.88,2,11.0,1,7,0,114,12,1,0
2405.43428954922,2,20.116876778149248,1,4,1,62,2,4,1
455.688458585977,3,1.517453247380315,1,0,2,64,12,4,1
1169.2,3,10.0,1,2,1,102,11,3,0
2103.04,0,10.0,0,3,2,105,4,4,0
1172.8319779759179,3,17.12871480354983,2,4,3,72,6,2,1
3890.26,3,12.0,0,0,1,98,1,2,0
3845.53,4,16.0,0,6,2,103,10,4,0
1687.689577679648,1,19.97246734324748,0,4,2,92,6,0,1
2771.7,4,13.0,0,4,4,9,2,0,0
3646.2333275070573,0,21.69771307354376,3,4,0,112,6,0,1
3715.83,4,4.0,1,5,1,79,14,1,0
2454.76,1,14.0,0,2,2,4,3,3,0
1505.25,1,3.0,1,3,3,89,7,4,0
123.40414216160664,0,16.652059670035015,2,2,1,7,7,1,1
510.7146512444964,3,7.255812591727455,1,1,2,80,5,0,1
320.81297299016165,3,4.624109835023267,0,4,0,4,12,3,1
2574.466488043676,4,5.563659420210648,2,0,2,8,5,0,1
4240.65,4,21.0,0,0,4,89,4,4,1
3998.3917350468405,3,9.33862872381625,1,5,1,19,8,1,1
934.1,2,17.0,2,5,4,69,1,1,0
3986.3611119500742,1,6.751782924475828,1,2,1,115,12,3,1
3438.22,3,9.0,1,6,2,88,12,1,0
1141.09,1,3.0,1,0,1,55,9,5,0
4293.27,4,8.0,0,4,4,43,13,3,0
1534.24,3,23.0,2,4,1,41,12,1,1
3221.41,3,10.0,2,2,0,24,6,1,0
4714.123949150315,2,15.079607884111207,0,1,1,86,11,4,1
1596.1486798390565,1,20.71230637880339,0,3,1,95,2,0,1
4023.64,0,10.0,0,1,3,54,1,4,0
1204.7348498646975,3,7.359635651567165,0,2,2,52,8,1,1
2399.495240540279,3,19.55791072780018,1,3,0,70,3,3,1
4926.012143687982,0,3.7455097505752257,0,2,1,98,7,0,1
2241.32,3,0.0,1,3,4,19,1,1,0
628.19,1,7.0,0,3,3,50,8,0,0
4618.291794851288,1,7.440075981004272,0,7,2,80,8,0,1
765.41,0,18.0,0,5,3,101,10,5,0
1458.19,4,11.0,2,6,1,89,9,0,0
3384.47,1,22.0,1,3,4,27,4,3,0
3835.31,2,2.0,1,7,0,43,9,3,0
487.5050102646937,3,6.429488818703318,1,3,1,56,7,0,1
1783.86,3,19.0,0,0,0,100,4,5,0
2903.2290758016156,2,16.06259173528026,1,5,0,14,6,4,1
751.7063379601967,1,3.179126110900901,2,3,0,80,6,1,1
2663.2401927150204,3,10.697651012697284,0,5,3,27,8,4,1
3094.73,0,16.0,1,5,0,17,7,0,0
1284.03,1,3.0,0,6,3,58,1,4,0
3403.42,2,12.0,4,5,3,44,1,1,0
4552.760455201191,2,14.826583448882193,1,5,0,68,5,3,1
1964.661656977617,3,2.223811638310785,0,2,3,12,6,4,1
4259.42,4,23.0,0,6,2,35,1,1,1
1909.03,1,13.0,0,6,4,105,14,0,0
4258.418345993753,2,5.718995427415425,2,2,2,46,6,2,1
49997.8,3,4.714045949418313,1,6,0,66,11,3,1
2510.0791963431925,2,2.6059075496723523,1,4,0,86,10,1,1
4116.35,4,6.0,0,1,4,81,1,0,1
4895.904871581115,0,18.24515288231895,0,0,3,103,14,3,1
2730.190522558564,3,15.867944291561642,0,2,1,99,9,3,1
1719.42,3,3.0,1,6,3,79,11,1,0
3604.2260667188975,3,5.826416579132306,0,3,3,75,11,3,1
2593.8807142586497,0,16.60436890138309,1,7,0,87,7,2,1
4689.37,2,11.0,1,0,4,64,7,0,0
872.32,4,11.0,2,7,0,5,6,0,0
367.13544429915316,2,10.346681571244936,1,3,2,5,8,3,1
3727.64,1,17.0,1,2,2,83,2,0,0
483.2445708494979,1,16.567418985682018,0,3,1,6,14,0,1
169.06,3,7.0,2,5,2,21,1,1,0
2824.9662761558807,4,12.273203568626363,1,3,3,106,8,0,1
4357.436665985036,2,17.629166879676216,1,2,3,53,7,0,1
2013.1277198349442,0,11.702609308431644,1,6,0,87,6,1,1
1834.163390366174,0,16.890079083645723,1,0,2,55,10,1,1
4599.903129571852,2,20.407909802206316,1,2,1,51,1,4,1
3023.3125188514773,0,4.268807920783072,0,0,3,56,6,0,1
2179.2821982909404,1,12.457904547848333,2,7,3,92,3,2,1
2744.67,2,3.0,1,6,4,96,8,3,0
2085.4248803932296,1,15.3856407247241,0,3,0,23,5,0,1
3748.24,0,6.0,0,0,0,79,2,5,0
4345.4997009384415,1,7.361130890314719,1,1,0,116,5,0,1
150.7365788327527,0,8.342172977355998,0,4,2,70,12,3,1
1557.0828219917314,0,19.912926602032208,1,2,3,103,6,4,1
1510.0120509156513,0,3.4715640660753504,0,6,1,110,3,4,1
2307.68,3,15.0,1,3,4,1,8,5,1
121.37,0,10.0,2,3,1,80,10,3,0
4376.4297738552905,0,18.500520071791843,2,0,3,5,10,0,1
1077.03,0,8.0,0,1,4,35,10,0,0
4008.053948913041,2,3.084504939723428,1,0,0,109,9,0,1
4090.63,3,15.0,4,0,2,60,10,1,0
